description,category
"Aloo tikki","Food & Dining"
"Gol gappa","Food & Dining"
"Papdi chaat","Food & Dining"
"Raj kachori","Food & Dining"
"Kachori","Food & Dining"
"Dhokla","Food & Dining"
"Thepla","Food & Dining"
"Khandvi","Food & Dining"
"Fafda","Food & Dining"
"Dabeli","Food & Dining"
"Misal pav","Food & Dining"
"Poha","Food & Dining"
"Upma","Food & Dining"
"Idli","Food & Dining"
"Uttapam","Food & Dining"
"Medu vada","Food & Dining"
"Rava dosa","Food & Dining"
"Mysore pak","Food & Dining"
"Gulab jamun","Food & Dining"
"Rasgulla","Food & Dining"
"Sandesh","Food & Dining"
"Mishti doi","Food & Dining"
"Kulfi","Food & Dining"
"Faluda","Food & Dining"
"Lassi","Food & Dining"
"Sugarcane juice","Food & Dining"
"Nimbu paani","Food & Dining"
"Jal jeera","Food & Dining"
"Aam panna","Food & Dining"
"Masala chai","Food & Dining"
"Filter coffee","Food & Dining"
"South Indian coffee","Food & Dining"
"Cutting chai","Food & Dining"
"Tiffin","Food & Dining"
"Paratha","Food & Dining"
"Aloo paratha","Food & Dining"
"Gobi paratha","Food & Dining"
"Paneer paratha","Food & Dining"
"Stuffed paratha","Food & Dining"
"Roti","Food & Dining"
"Chapati","Food & Dining"
"Naan","Food & Dining"
"Kulcha","Food & Dining"
"Bhatura","Food & Dining"
"Puri","Food & Dining"
"Dal tadka","Food & Dining"
"Dal fry","Food & Dining"
"Rajma","Food & Dining"
"Chole","Food & Dining"
"Palak paneer","Food & Dining"
"Matar paneer","Food & Dining"
"Butter chicken","Food & Dining"
"Chicken curry","Food & Dining"
"Mutton curry","Food & Dining"
"Fish curry","Food & Dining"
"Tandoori chicken","Food & Dining"
"Chicken biryani","Food & Dining"
"Mutton biryani","Food & Dining"
"Veg biryani","Food & Dining"
"Pulao","Food & Dining"
"Jeera rice","Food & Dining"
"Fried rice","Food & Dining"
"Maggi","Food & Dining"
"Instant noodles","Food & Dining"
"Bread pakoda","Food & Dining"
"Aloo bonda","Food & Dining"
"Medu vada","Food & Dining"
"Bajji","Food & Dining"
"Bonda","Food & Dining"
"Cutlet","Food & Dining"
"Patties","Food & Dining"
"Sandwich","Food & Dining"
"Club sandwich","Food & Dining"
"Frankie","Food & Dining"
"Kathi roll","Food & Dining"
"Shawarma","Food & Dining"
"Momos","Food & Dining"
"Chowmein","Food & Dining"
"Manchurian","Food & Dining"
"Fried chicken","Food & Dining"
"Chicken 65","Food & Dining"
"Pepper chicken","Food & Dining"
"Fish fry","Food & Dining"
"Prawn curry","Food & Dining"
"Crab curry","Food & Dining"
"Ice cream parlour","Food & Dining"
"Gola","Food & Dining"
"Popsicle","Food & Dining"
"Fruit juice","Food & Dining"
"Fresh lime soda","Food & Dining"
"Coconut water","Food & Dining"
"Tender coconut","Food & Dining"
"Auto","Transportation"
"Auto rickshaw","Transportation"
"Three wheeler","Transportation"
"Tempo","Transportation"
"Share auto","Transportation"
"Rickshaw","Transportation"
"Cycle rickshaw","Transportation"
"E-rickshaw","Transportation"
"Tuk tuk","Transportation"
"Local train","Transportation"
"Suburban train","Transportation"
"Express train","Transportation"
"Rajdhani","Transportation"
"Shatabdi","Transportation"
"Duronto","Transportation"
"Garib rath","Transportation"
"Jan shatabdi","Transportation"
"Passenger train","Transportation"
"BEST bus","Transportation"
"State bus","Transportation"
"Private bus","Transportation"
"Volvo bus","Transportation"
"AC bus","Transportation"
"Ordinary bus","Transportation"
"BMTC","Transportation"
"KSRTC","Transportation"
"MSRTC","Transportation"
"APSRTC","Transportation"
"TSRTC","Transportation"
"DTC bus","Transportation"
"Delhi Metro","Transportation"
"Mumbai Metro","Transportation"
"Bangalore Metro","Transportation"
"Kolkata Metro","Transportation"
"Chennai Metro","Transportation"
"Hyderabad Metro","Transportation"
"Kochi Metro","Transportation"
"Metro card","Transportation"
"Metro token","Transportation"
"Platform ticket","Transportation"
"Reservation charges","Transportation"
"Tatkal charges","Transportation"
"Cancellation charges","Transportation"
"Two wheeler","Transportation"
"Motorcycle","Transportation"
"Scooter","Transportation"
"Scooty","Transportation"
"Activa","Transportation"
"Splendor","Transportation"
"Bullet","Transportation"
"Bike service","Transportation"
"Petrol pump","Transportation"
"CNG","Transportation"
"Diesel","Transportation"
"Vehicle insurance","Transportation"
"RC renewal","Transportation"
"PUC certificate","Transportation"
"Toll plaza","Transportation"
"Parking charges","Transportation"
"Valet parking","Transportation"
"Street shopping","Shopping"
"Local market","Shopping"
"Bazaar","Shopping"
"Mandi","Shopping"
"Sunday market","Shopping"
"Flea market","Shopping"
"Sarojini Nagar","Shopping"
"Karol Bagh","Shopping"
"Janpath","Shopping"
"Palika Bazaar","Shopping"
"Chandni Chowk","Shopping"
"Commercial Street","Shopping"
"Brigade Road","Shopping"
"Forum Mall","Shopping"
"Phoenix Mall","Shopping"
"Select City Walk","Shopping"
"DLF Mall","Shopping"
"Express Avenue","Shopping"
"Lifestyle","Shopping"
"Westside","Shopping"
"Pantaloons","Shopping"
"Big Bazaar","Shopping"
"More","Shopping"
"Reliance Trends","Shopping"
"V-Mart","Shopping"
"Brand Factory","Shopping"
"Central","Shopping"
"Shoppers Stop","Shopping"
"Kurtis","Shopping"
"Lehenga","Shopping"
"Salwar kameez","Shopping"
"Dupatta","Shopping"
"Blouse","Shopping"
"Petticoat","Shopping"
"Dhoti","Shopping"
"Lungi","Shopping"
"Mundu","Shopping"
"Angrakha","Shopping"
"Nehru jacket","Shopping"
"Modi jacket","Shopping"
"Bandhgala","Shopping"
"Sherwani","Shopping"
"Lehenga choli","Shopping"
"Sharara","Shopping"
"Gharara","Shopping"
"Anarkali","Shopping"
"Palazzo","Shopping"
"Ethnic wear","Shopping"
"Traditional wear","Shopping"
"Gold jewelry","Shopping"
"Silver jewelry","Shopping"
"Artificial jewelry","Shopping"
"Imitation jewelry","Shopping"
"Bangles","Shopping"
"Earrings","Shopping"
"Necklace","Shopping"
"Chain","Shopping"
"Ring","Shopping"
"Nose ring","Shopping"
"Anklet","Shopping"
"Toe ring","Shopping"
"Mangalsutra","Shopping"
"Sindoor","Shopping"
"Kumkum","Shopping"
"Bindi","Shopping"
"Kajal","Shopping"
"Mehendi","Shopping"
"Henna","Shopping"
"Coconut oil","Personal Care"
"Mustard oil","Personal Care"
"Sesame oil","Personal Care"
"Almond oil","Personal Care"
"Hair oil","Personal Care"
"Ayurvedic oil","Personal Care"
"Herbal shampoo","Personal Care"
"Shikakai","Personal Care"
"Aritha","Personal Care"
"Reetha","Personal Care"
"Amla","Personal Care"
"Neem","Personal Care"
"Turmeric","Personal Care"
"Sandalwood","Personal Care"
"Rose water","Personal Care"
"Glycerine","Personal Care"
"Multani mitti","Personal Care"
"Ubtan","Personal Care"
"Face pack","Personal Care"
"Ayurvedic medicine","Personal Care"
"Parlour","Personal Care"
"Beauty parlour","Personal Care"
"Salon","Personal Care"
"Ladies salon","Personal Care"
"Barber shop","Personal Care"
"Threading","Personal Care"
"Eyebrow threading","Personal Care"
"Upper lip threading","Personal Care"
"Waxing","Personal Care"
"Full body waxing","Personal Care"
"Leg waxing","Personal Care"
"Hand waxing","Personal Care"
"Facial","Personal Care"
"Clean up","Personal Care"
"Bleach","Personal Care"
"Pedicure","Personal Care"
"Manicure","Personal Care"
"Hair cut","Personal Care"
"Hair style","Personal Care"
"Hair wash","Personal Care"
"Hair spa","Personal Care"
"Hair treatment","Personal Care"
"Hair straightening","Personal Care"
"Hair curling","Personal Care"
"Hair rebonding","Personal Care"
"Hair color","Personal Care"
"Highlights","Personal Care"
"Mehendi application","Personal Care"
"Bridal makeup","Personal Care"
"Party makeup","Personal Care"
"Patanjali","Health"
"Ayurvedic medicine","Health"
"Homeopathic medicine","Health"
"Unani medicine","Health"
"Siddha medicine","Health"
"Yoga class","Health"
"Pranayama","Health"
"Meditation","Health"
"Ayurveda consultation","Health"
"Panchakarma","Health"
"Abhyanga","Health"
"Shirodhara","Health"
"Nasya","Health"
"Vamana","Health"
"Virechana","Health"
"Basti","Health"
"Raktamoksha","Health"
"AIIMS","Health"
"Government hospital","Health"
"Private hospital","Health"
"Nursing home","Health"
"Clinic","Health"
"Dispensary","Health"
"PHC","Health"
"Primary health center","Health"
"Apollo","Health"
"Fortis","Health"
"Max hospital","Health"
"Manipal","Health"
"Narayana","Health"
"Columbia Asia","Health"
"Medanta","Health"
"PGIMER","Health"
"NIMHANS","Health"
"Sankara Nethralaya","Health"
"L V Prasad","Health"
"Medical college","Health"
"ESI hospital","Health"
"Railway hospital","Health"
"Army hospital","Health"
"Police hospital","Health"
"Jan Aushadhi","Health"
"Medicine shop","Health"
"Pharmacy","Health"
"Chemist","Health"
"Medical store","Health"
"Health checkup","Health"
"Master health checkup","Health"
"Full body checkup","Health"
"Blood test","Health"
"Urine test","Health"
"Stool test","Health"
"X-ray","Health"
"Ultrasound","Health"
"CT scan","Health"
"MRI scan","Health"
"ECG","Health"
"Echo","Health"
"TMT","Health"
"Endoscopy","Health"
"Colonoscopy","Health"
"Biopsy","Health"
"Vaccination","Health"
"Immunization","Health"
"COVID vaccine","Health"
"Hepatitis vaccine","Health"
"Tetanus injection","Health"
"Rabies injection","Health"
"Physiotherapy","Health"
"Occupational therapy","Health"
"Speech therapy","Health"
"Dental checkup","Health"
"Tooth filling","Health"
"Root canal","Health"
"Tooth extraction","Health"
"Dental cleaning","Health"
"Braces","Health"
"Dentures","Health"
"Eye checkup","Health"
"Eye test","Health"
"Spectacles","Health"
"Contact lenses","Health"
"Eye drops","Health"
"Cataract surgery","Health"
"LASIK","Health"
"Hearing aid","Health"
"ENT checkup","Health"
"Skin checkup","Health"
"Dermatologist","Health"
"Allergist","Health"
"Cardiologist","Health"
"Neurologist","Health"
"Orthopedic","Health"
"Gynecologist","Health"
"Pediatrician","Health"
"Psychiatrist","Health"
"Psychologist","Health"
"Dietician","Health"
"Nutritionist","Health"
"KG fees","Education"
"LKG fees","Education"
"UKG fees","Education"
"Nursery fees","Education"
"Playschool fees","Education"
"Montessori fees","Education"
"Primary school fees","Education"
"Middle school fees","Education"
"High school fees","Education"
"Secondary school fees","Education"
"Senior secondary fees","Education"
"CBSE fees","Education"
"ICSE fees","Education"
"State board fees","Education"
"Kendriya Vidyalaya","Education"
"Navodaya Vidyalaya","Education"
"DAV school","Education"
"DPS","Education"
"Ryan school","Education"
"Bal Bharati","Education"
"Sardar Patel Vidyalaya","Education"
"Army Public School","Education"
"Convent school","Education"
"Mission school","Education"
"Government school","Education"
"Private school","Education"
"International school","Education"
"Boarding school","Education"
"Hostel fees","Education"
"Mess fees","Education"
"Transport fees","Education"
"School bus fees","Education"
"Van fees","Education"
"Auto fees","Education"
"Uniform","Education"
"School bag","Education"
"Water bottle","Education"
"Lunch box","Education"
"Stationery","Education"
"Notebooks","Education"
"Textbooks","Education"
"Reference books","Education"
"Practical books","Education"
"Lab manual","Education"
"Atlas","Education"
"Dictionary","Education"
"Calculator","Education"
"Geometry box","Education"
"Art supplies","Education"
"Drawing book","Education"
"Color pencils","Education"
"Sketch pens","Education"
"Exam fees","Education"
"Registration fees","Education"
"Admission fees","Education"
"Entrance exam fees","Education"
"JEE fees","Education"
"NEET fees","Education"
"CAT fees","Education"
"MAT fees","Education"
"XAT fees","Education"
"GATE fees","Education"
"NET fees","Education"
"UPSC fees","Education"
"SSC fees","Education"
"Banking exam fees","Education"
"Railway exam fees","Education"
"State PSC fees","Education"
"Coaching classes","Education"
"Tuition fees","Education"
"Private tuition","Education"
"Group tuition","Education"
"Online classes","Education"
"Computer classes","Education"
"English speaking","Education"
"Personality development","Education"
"Soft skills","Education"
"Technical training","Education"
"Skill development","Education"
"Vocational training","Education"
"ITI fees","Education"
"Polytechnic fees","Education"
"Diploma fees","Education"
"Engineering fees","Education"
"Medical fees","Education"
"Dental fees","Education"
"Law fees","Education"
"MBA fees","Education"
"CA fees","Education"
"CS fees","Education"
"CMA fees","Education"
"B.Com fees","Education"
"B.A fees","Education"
"B.Sc fees","Education"
"M.Com fees","Education"
"M.A fees","Education"
"M.Sc fees","Education"
"Ph.D fees","Education"
"Research fees","Education"
"Thesis submission","Education"
"Library fees","Education"
"Laboratory fees","Education"
"Practical fees","Education"
"Project fees","Education"
"Internship fees","Education"
"Placement fees","Education"
"Convocation fees","Education"
"Certificate fees","Education"
"Transcript fees","Education"
"Migration certificate","Education"
"Character certificate","Education"
"Provisional certificate","Education"
"Degree certificate","Education"
"Marksheet","Education"
"Duplicate certificate","Education"
"Affidavit","Education"
"Notarization","Education"
"Translation fees","Education"
"Verification fees","Education"
"Online course","Education"
"MOOC","Education"
"Coursera","Education"
"edX","Education"
"Khan Academy","Education"
"Unacademy","Education"
"Vedantu","Education"
"WhiteHat Jr","Education"
"Toppr","Education"
"BYJU'S","Education"
"Aakash","Education"
"Allen","Education"
"FIITJEE","Education"
"Resonance","Education"
"VMC","Education"
"Narayana","Education"
"Sri Chaitanya","Education"
"Brilliant Tutorials","Education"
"TIME","Education"
"IMS","Education"
"Career Launcher","Education"
"PT Education","Education"
"2IIM","Education"
"Cracku","Education"
"Oliveboard","Education"
"Testbook","Education"
"Gradeup","Education"
"BYJUS","Education"
"Electricity bill MSEB","Utilities"
"Electricity bill BESCOM","Utilities"
"Electricity bill KSEB","Utilities"
"Electricity bill TNEB","Utilities"
"Electricity bill APCPDCL","Utilities"
"Electricity bill TSSPDCL","Utilities"
"Electricity bill DHBVN","Utilities"
"Electricity bill UHBVN","Utilities"
"Electricity bill BSES","Utilities"
"Electricity bill Tata Power","Utilities"
"Electricity bill Adani","Utilities"
"Electricity bill Reliance","Utilities"
"Water bill BMC","Utilities"
"Water bill BBMP","Utilities"
"Water bill HMWSSB","Utilities"
"Water bill DJB","Utilities"
"Water bill CMWSSB","Utilities"
"Water bill KWA","Utilities"
"Borewell","Utilities"
"Water tanker","Utilities"
"Water purifier","Utilities"
"RO service","Utilities"
"Water filter","Utilities"
"Aquaguard","Utilities"
"Kent","Utilities"
"Eureka Forbes","Utilities"
"LPG cylinder","Utilities"
"Gas connection","Utilities"
"Gas stove","Utilities"
"Gas regulator","Utilities"
"Gas pipe","Utilities"
"Indane","Utilities"
"Bharat Gas","Utilities"
"HP Gas","Utilities"
"Cooking gas","Utilities"
"Pipeline gas","Utilities"
"PNG","Utilities"
"CNG connection","Utilities"
"Airtel bill","Utilities"
"Jio bill","Utilities"
"Vi bill","Utilities"
"BSNL bill","Utilities"
"MTNL bill","Utilities"
"Idea bill","Utilities"
"Vodafone bill","Utilities"
"Mobile recharge","Utilities"
"Talk time","Utilities"
"Data pack","Utilities"
"SMS pack","Utilities"
"Full talktime","Utilities"
"Top up","Utilities"
"Validity extension","Utilities"
"Roaming pack","Utilities"
"International roaming","Utilities"
"STD pack","Utilities"
"ISD pack","Utilities"
"Broadband bill","Utilities"
"Internet bill","Utilities"
"WiFi bill","Utilities"
"Fiber connection","Utilities"
"FTTH","Utilities"
"ACT Fibernet","Utilities"
"Hathway","Utilities"
"Tikona","Utilities"
"Railwire","Utilities"
"BSNL broadband","Utilities"
"Airtel Xstream","Utilities"
"Jio Fiber","Utilities"
"Excitel","Utilities"
"Spectranet","Utilities"
"Alliance","Utilities"
"Cable TV","Utilities"
"DTH","Utilities"
"Dish TV","Utilities"
"Tata Sky","Utilities"
"Sun Direct","Utilities"
"Videocon d2h","Utilities"
"Airtel Digital TV","Utilities"
"DD Free Dish","Utilities"
"Set top box","Utilities"
"Cable connection","Utilities"
"TV subscription","Utilities"
"Premium channels","Utilities"
"Sports pack","Utilities"
"Movie pack","Utilities"
"Regional pack","Utilities"
"HD pack","Utilities"
"Ultra HD pack","Utilities"
"OTT subscription","Entertainment"
"Netflix","Entertainment"
"Amazon Prime","Entertainment"
"Disney+ Hotstar","Entertainment"
"Zee5","Entertainment"
"SonyLIV","Entertainment"
"Voot","Entertainment"
"ALTBalaji","Entertainment"
"MX Player","Entertainment"
"Eros Now","Entertainment"
"Hungama Play","Entertainment"
"Shemaroo","Entertainment"
"Hoichoi","Entertainment"
"Addatimes","Entertainment"
"Sun NXT","Entertainment"
"Aha","Entertainment"
"Simply South","Entertainment"
"Koode","Entertainment"
"Movie ticket","Entertainment"
"Cinema hall","Entertainment"
"Multiplex","Entertainment"
"INOX","Entertainment"
"PVR","Entertainment"
"Cinepolis","Entertainment"
"Big Cinemas","Entertainment"
"Fun Cinemas","Entertainment"
"Carnival","Entertainment"
"Miraj","Entertainment"
"Mukta A2","Entertainment"
"Wave Cinemas","Entertainment"
"SRS Cinemas","Entertainment"
"Raj Mandir","Entertainment"
"Liberty Cinema","Entertainment"
"Regal Cinema","Entertainment"
"Metro Cinema","Entertainment"
"Eros Cinema","Entertainment"
"Balaji Cinema","Entertainment"
"Single screen","Entertainment"
"3D movie","Entertainment"
"IMAX","Entertainment"
"4DX","Entertainment"
"Gold class","Entertainment"
"Recliner","Entertainment"
"VIP seats","Entertainment"
"Premium seats","Entertainment"
"Balcony","Entertainment"
"First class","Entertainment"
"Second class","Entertainment"
"General seats","Entertainment"
"Popcorn","Entertainment"
"Nachos","Entertainment"
"Cold drink","Entertainment"
"Movie combo","Entertainment"
"Theatre food","Entertainment"
"Intermission snacks","Entertainment"
"Concert","Entertainment"
"Music show","Entertainment"
"Dance show","Entertainment"
"Theatre","Entertainment"
"Drama","Entertainment"
"Play","Entertainment"
"Stand up comedy","Entertainment"
"Comedy show","Entertainment"
"Musical","Entertainment"
"Orchestra","Entertainment"
"Classical music","Entertainment"
"Folk dance","Entertainment"
"Cultural program","Entertainment"
"Festival event","Entertainment"
"Art exhibition","Entertainment"
"Museum","Entertainment"
"Gallery","Entertainment"
"Planetarium","Entertainment"
"Science museum","Entertainment"
"National museum","Entertainment"
"State museum","Entertainment"
"Archaeological museum","Entertainment"
"War memorial","Entertainment"
"Monument","Entertainment"
"Heritage site","Entertainment"
"Fort","Entertainment"
"Palace","Entertainment"
"Temple visit","Entertainment"
"Religious tour","Entertainment"
"Pilgrimage","Entertainment"
"Darshan","Entertainment"
"Amusement park","Entertainment"
"Theme park","Entertainment"
"Water park","Entertainment"
"Adventure park","Entertainment"
"Fun city","Entertainment"
"Bowling","Entertainment"
"Pool","Entertainment"
"Snooker","Entertainment"
"Carrom","Entertainment"
"Chess","Entertainment"
"Ludo","Entertainment"
"Video games","Entertainment"
"Gaming zone","Entertainment"
"Arcade games","Entertainment"
"Virtual reality","Entertainment"
"Laser tag","Entertainment"
"Paintball","Entertainment"
"Go karting","Entertainment"
"Adventure sports","Entertainment"
"Trekking","Entertainment"
"Rock climbing","Entertainment"
"River rafting","Entertainment"
"Bungee jumping","Entertainment"
"Paragliding","Entertainment"
"Skydiving","Entertainment"
"Scuba diving","Entertainment"
"Snorkeling","Entertainment"
"Jet skiing","Entertainment"
"Banana boat","Entertainment"
"Parasailing","Entertainment"
"Zorbing","Entertainment"
"Cycling","Entertainment"
"Horse riding","Entertainment"
"Elephant ride","Entertainment"
"Camel ride","Entertainment"
"Boat ride","Entertainment"
"Cruise","Entertainment"
"Houseboat","Entertainment"
"Beach resort","Entertainment"
"Hill station","Entertainment"
"Wildlife sanctuary","Entertainment"
"National park","Entertainment"
"Bird watching","Entertainment"
"Safari","Entertainment"
"Tiger reserve","Entertainment"
"Elephant sanctuary","Entertainment"
"Snake park","Entertainment"
"Butterfly park","Entertainment"
"Cricket match","Entertainment"
"IPL tickets","Entertainment"
"Football match","Entertainment"
"Hockey match","Entertainment"
"Badminton match","Entertainment"
"Tennis match","Entertainment"
"Kabaddi match","Entertainment"
"Wrestling match","Entertainment"
"Boxing match","Entertainment"
"Athletics","Entertainment"
"Marathon","Entertainment"
"Half marathon","Entertainment"
"Fun run","Entertainment"
"Charity run","Entertainment"
"Sports event","Entertainment"
"Stadium entry","Entertainment"
"Sports club","Entertainment"
"Gym membership","Entertainment"
"Fitness center","Entertainment"
"Yoga center","Entertainment"
"Dance class","Entertainment"
"Music class","Entertainment"
"Singing class","Entertainment"
"Instrument class","Entertainment"
"Art class","Entertainment"
"Drawing class","Entertainment"
"Painting class","Entertainment"
"Sculpture class","Entertainment"
"Pottery class","Entertainment"
"Craft class","Entertainment"
"Cooking class","Entertainment"
"Baking class","Entertainment"
"Photography class","Entertainment"
"Language class","Entertainment"
"Computer class","Entertainment"
"Hobby class","Entertainment"
